Zip,Sum
90026,7364.00
90065,4964.00
90068,4400.00
90210,4200.00
90039,3313.00
90035,3200.00
90049,3200.00
90067,2900.00
90230,2900.00
90028,2728.00
90015,2400.00
90027,2300.00
90020,2100.00
90266,2050.00
19335,1600.00
90010,1600.00
90058,1600.00
90071,1600.00
90249,1600.00
90272,1600.00
90291,1600.00
90402,1600.00
90815,1600.00
91011,1600.00
91024,1600.00
91361,1600.00
90025,1300.00
90038,1300.00
90066,1300.00
90069,1300.00
90212,1300.00
90404,1300.00
91030,1300.00
91316,1300.00
91604,1300.00
90211,1050.00
90005,950.00
90043,914.00
90046,878.00
90006,800.00
90017,800.00
90024,800.00
90034,800.00
90405,800.00
90703,800.00
91020,800.00
91202,800.00
91355,800.00
91362,800.00
91423,800.00
91436,800.00
91504,800.00
91505,800.00
91601,800.00
91602,800.00
91731,800.00
92011,800.00
92128,800.00
92503,800.00
93065,800.00
94108,800.00
94597,800.00
95833,800.00
90004,605.00
20004,500.00
90245,500.00
90254,500.00
90265,500.00
90802,500.00
91040,500.00
92861,500.00
91402,464.00
90012,450.00
90007,400.00
91204,300.00
90292,250.00
91401,250.00
06880,250.00
90042,214.00
90048,164.00
90057,114.00
92692,114.00
91387,100.00
